Criterion/Metric Name;DRG Short Code;Question;Rationale;Scoring Logic;Legend;Primary DRG;Other Applicable DRGs
Digital Literacy Policy & Governance;1;To what extent does the organisation have a formal digital literacy policy/strategy with an active governance body overseeing its implementation?;Policy and governance turn intentions into accountable practice, ensuring digital literacy efforts are resourced, coordinated, and sustained.;"0=None; 1=Initial; 2=Formal policy; 3=Policy with governance; 4=Active governance; 5=Embedded practice";"None – no policy or governance; Ad hoc – informal practices/awareness; Formal policy – policy exists and communicated; Policy with governance – governance body meets occasionally; Active governance – governance with monitoring and updates; Embedded practice – regular review and visible influence on decisions;";DRG#1: Digital Literacy;–
Capacity building;1;To what extent does the organisation provide training and capacity building for staff on the responsible use of digital technologies (e.g., data use, privacy, accessibility, AI)?;Equipping staff with practical skills embeds responsible practices in day‑to‑day work, reducing risks and improving user outcomes.;"0=None; 1=Ad hoc; 2=Basic; 3=Structured; 4=Embedded";"None – no training on responsible use of digital technologies; Ad hoc – occasional, one-off sessions without follow-up; Basic – training available for some staff, but limited in scope or depth; Structured – regular program for relevant staff, supporting practical application; Embedded – training part of ongoing staff development and business processes, regularly updated and improved";DRG#1: Digital Literacy;
Multilingual & Clear Communication;1;How broadly and reliably are key digital services and user communications offered in the main languages of your user base, with usable, good‑quality translations?;Multilingual services promote inclusion and equal access, reducing barriers for users who do not speak the default language.;"0 = No multilingual support; 1 = Minimal coverage; 2 = Basic multilingual provision; 3 = Moderate coverage; 4 = High coverage; 5 = Best practice / fully inclusive";"Minimal: few document/services, poorly translated; Basic: key user-facing services and policies available in 1-2 additional major languages; Moderate: core services consistently available in 2+ languages covering the majority of user base; High:
Broad range of services and support available in several languages; translations are professionally maintained and updated; Best-practice: Comprehensive multilingual support across all digital content and customer support channels, tailored to user demographics, regularly reviewed";DRG#1: Digital Literacy;DRG#6: Transparency
Security Certification/Compliance;2;Which statement best describes the organisation’s adoption and ongoing maintenance of recognised security standards (e.g., ISO/IEC 27001, SOC 2)?;Recognised standards and their maintenance signal robust security practices and strengthen trust with customers and regulators.;"0=None; 1=Aligned; 2=In progress; 3=Certified; 4=Maintained; 5=Best practice";"None – no recognized certification; Aligned – practices informally aligned with a standard but no certification; In progress – formal certification process underway; Certified – formally certified to one recognized standard (e.g., ISO/IEC 27001, SOC 2); Maintained – certification actively renewed, monitored, and internally audited; Best practice – certification maintained with regular external audits and demonstrated continuous improvement";DRG#2: Cybersecurity;DRG#5: Trustworthy Algorithms
Security Awareness Training Coverage;2;To what extent does the organisation run a regular cybersecurity awareness program with required refreshers for relevant staff?;"People are a primary attack vector; consistent awareness training reduces the likelihood and impact of security incidents.";"0=None; 1=Ad hoc; 2=Basic; 3=Structured; 4=Mandatory; 5=Embedded";"None – no cybersecurity awareness training offered; Ad hoc – occasional or optional training without consistency; Basic – limited training (e.g., onboarding only or selected roles); Structured – organisation-wide program exists but not enforced; Mandatory – regular, compulsory training with refreshers for all staff; Embedded – training is continuous, role-specific, regularly updated, and effectiveness is measure";DRG#2: Cybersecurity;DRG#1: Digital Literacy
Incident response plan;2;Does the organisation have a formal, documented incident response plan covering detection, response, and recovery?;A documented plan enables fast, coordinated action during incidents, limiting damage and speeding recovery.;"0 = No; 3= Yes";"None – no formalised incident response plan or process; Exists – formal, documented incident response strategy and process established (covering detection, response, and recovery)";DRG#2: Cybersecurity;
Data Subject Requests (Volume & Response Time);3;How consistent and timely is the organisation’s process for handling data subject requests (e.g., access, correction, deletion), and how clear is the user experience?;Reliable handling of requests demonstrates respect for individual rights, improves user trust, and reduces operational and reputational risk.;"0=None; 1=Ad hoc; 2=Manual; 3=Consistent; 4=Timely; 5=User-centric";"None – no process to handle data subject requests; Ad hoc – requests handled inconsistently, delays common; Manual – process exists but slow, depends on individual staff capacity; Consistent – requests handled reliably with defined steps, usually resolved within a reasonable timeframe; Timely – requests resolved quickly and predictably, supported by tools or streamlined processes; User-centric – requests resolved promptly with clear communication and support, process designed to be transparent and user-friendly";DRG#3: Privacy;DRG#6: Transparency, DRG#7: Human Agency
Privacy Governance & Accountability;3;What level of privacy governance is in place (e.g., assigned responsibility, dedicated DPO, clear reporting and oversight)?;Clear accountability ensures privacy risks are managed proactively and escalated appropriately across the organisation.;"0=None; 1=Informal; 2=Assigned; 3=Dedicated; 4=Structured; 5=Integrated";"None – no privacy governance; Informal – handled ad hoc by IT/legal without mandate; Assigned – responsibility added to existing role (e.g., compliance officer); Dedicated – appointed DPO or privacy lead, limited influence; Structured – DPO with clear mandate, reporting line, regular oversight; Integrated – privacy embedded across departments with executive/board visibility";DRG#3: Privacy;DRG#6: Transparency
PET adoption;3;To what extent does the organisation adopt privacy‑enhancing technologies (beyond baseline compliance) in systems handling sensitive data?;Going beyond minimum compliance with PETs reduces data exposure and enables privacy‑preserving innovation.;"0=None; 1=Emerging; 2=Established; 3=Leading";"None – only baseline compliance (e.g., anonymisation, encryption); Emerging – pilots of PETs in limited projects (e.g., secure enclaves, small-scale differential privacy); Established – PETs systematically applied in core processes (e.g., tokenization, differential privacy in production, privacy-preserving ML); Leading – PETs as differentiator with cutting-edge use (e.g., homomorphic encryption, zero-knowledge proofs, multi-party computation across business lines)";DRG#3: Privacy;DRG#2: Cybersecurity
User Consent and Preference Management;4;How effectively can users view and manage consent and data preferences through usable tools and dashboards?;Meaningful user control supports fairness and autonomy and lowers complaints by making choices clear and actionable.;"0=None; 1=Basic; 2=Standard; 3=Enhanced; 4=Comprehensive; 5=User-centric";"None – no user control mechanisms; Basic – limited options (e.g., cookie banner with accept only); Standard – consent dashboards or preference managers with basic choices; Enhanced – users can access, correct, or delete data via clear processes; Comprehensive – self-service tools covering multiple rights (consent, data access, deletion, portability); User-centric – intuitive, transparent tools with real-time control and clear explanations";DRG#4: Data Fairness;DRG#7: Human Agency & Identity
